C:\Simcenter\Testxpress\ProjectData\Gamma_GS_NVH_241212\Data\s1_5-6.xdf,12.12.24,15:40:41,,,,,,,,,,,,,,,,
,M1: Mic_near_TC : FFT(C1) Frequency[Hz],M1: Mic_near_TC : FFT(C1) [Pa](A),,M2: Acc_Comp_in_X : FFT(C2) Frequency[Hz],M2: Acc_Comp_in_X : FFT(C2) [g],,M3: Acc_Comp_in_Y : FFT(C3) Frequency[Hz],M3: Acc_Comp_in_Y : FFT(C3) [g],,M4: Acc_Comp_in_z : FFT(C4) Frequency[Hz],M4: Acc_Comp_in_z : FFT(C4) [g],,M5: Dyn_Pressure_Comp_In : FFT(C5) Frequency[Hz],M5: Dyn_Pressure_Comp_In : FFT(C5) [Pa],,M6: Dyn_Pressure_Comp_Out : FFT(C6) Frequency[Hz],M6: Dyn_Pressure_Comp_Out : FFT(C6) [Pa],
Unit,Hz,Pa,,Hz,g,,Hz,g,,Hz,g,,Hz,Pa,,Hz,Pa,
Sensor,,,,,,,,,,,,,,,,,,
PointId,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Info1,,,,,,,,,,,,,,,,,,
Info2,,,,,,,,,,,,,,,,,,
Info3,,,,,,,,,,,,,,,,,,
Info4,,,,,,,,,,,,,,,,,,
Z Axis,,,,,,,,,,,,,,,,,,
,456.25,0.034543,-0.0253312,456.25,-0.0046077,0.0046715,456.25,-0.0025025,0.0006195,456.25,-0.0003585,0.0011468,456.25,-3.6811471,-1.7941965,456.25,-5.1907654,-9.3336802
,462.5,-0.025444,0.0558633,462.5,0.003031,-0.0007998,462.5,0.0012668,-0.0007313,462.5,-0.0003649,0.0011057,462.5,7.5077834,0.7237501,462.5,8.5281553,7.0396137
,468.75,-0.032616,-0.0588231,468.75,-0.0040285,0.0004452,468.75,-0.0028962,0.0018546,468.75,-0.0002829,-0.0021011,468.75,-7.1091247,-4.6962447,468.75,-1.3309598,1.4527138
,475,0.1135922,0.0008906,475,0.0034042,0.0064146,475,0.0023213,0.0046133,475,0.0000533,0.0023451,475,2.273617,-4.1786971,475,4.7045341,-11.1192913
,481.25,-0.0745196,-0.0243646,481.25,0.0029052,-0.0091702,481.25,0.0025044,-0.0093103,481.25,0.0020614,-0.0012606,481.25,7.4310141,11.8614569,481.25,-13.8524761,19.9421921
,487.5,0.1232714,0.0015264,487.5,0.0070915,0.0016818,487.5,0.0055252,0.0032803,487.5,0.0005391,0.0007185,487.5,-20.5395908,-0.014442,487.5,-7.1535106,-23.5477886
,493.75,-0.4112521,0.1112545,493.75,-0.0158364,-0.0021,493.75,-0.0094452,-0.0035955,493.75,-0.0037554,-0.0012814,493.75,25.9356155,0.6406305,493.75,13.2073536,31.1621952
,500,0.3776017,-0.1604593,500,0.0023761,0.0029726,500,-0.003645,0.0017762,500,0.0039763,0.0013355,500,-19.2071171,7.1460667,500,-1.6385884,-12.7773895
,506.25,-0.0044313,0.0797001,506.25,0.0079481,-0.0011719,506.25,0.0110549,0.0031875,506.25,-0.0036396,-0.0007292,506.25,17.7293262,-16.9354534,506.25,-2.343785,-17.3937054
,512.5,-0.2003459,0.0697042,512.5,-0.007152,0.0009029,512.5,-0.010227,-0.0026336,512.5,0.0047172,0.0006558,512.5,-30.0412827,3.5014625,512.5,7.6530938,17.1417484
,518.75,0.1120189,-0.1168968,518.75,0.0060798,0.0013711,518.75,0.0078626,0.0027426,518.75,-0.0060186,0.0002937,518.75,25.5742493,-8.5688553,518.75,-6.3818145,-12.1554155
,525,-0.0158788,-0.0383153,525,-0.0050129,-0.0063909,525,-0.0016346,-0.004432,525,-0.0005793,-0.0027585,525,-4.1118464,14.5497074,525,3.3453794,10.0691366
,531.25,0.0580841,0.1941704,531.25,0.0015728,0.0157901,531.25,-0.0053683,0.008206,531.25,0.01228,0.0024975,531.25,-2.5319397,0.6968668,531.25,-3.5582931,-7.5217032
,537.5,-0.038988,-0.2232568,537.5,0.0015238,-0.0134979,537.5,0.0048044,-0.0073985,537.5,-0.0112238,-0.0000462,537.5,6.866076,-2.5009575,537.5,8.6426535,9.0408764
,543.75,0.0546474,0.178212,543.75,-0.0029754,0.0031566,543.75,-0.0021012,0.0045813,543.75,0.0042114,-0.00306,543.75,-6.3762345,0.2331568,543.75,-10.3629007,-2.8154371
